,id,assignment,userid,timecreated,timemodified,grader,grade,attemptnumber
0,446,27,133,1605260886,1605260936,124,8.0,0
1,447,27,143,1605260937,1609763993,124,9.0,0
2,448,27,159,1605260979,1605261025,124,8.0,0
3,449,27,160,1605261026,1605261045,124,10.0,0
4,450,27,161,1605261046,1605261113,124,9.0,0
5,451,27,163,1605261114,1605261153,124,9.0,0
6,452,27,164,1605261154,1608048688,124,0.0,0
7,453,27,165,1605261321,1605261358,124,10.0,0
8,454,27,166,1605261359,1605261382,124,10.0,0
9,455,27,167,1605261383,1609764804,124,9.5,0
10,456,27,168,1605261441,1609764918,124,9.5,0
11,457,27,169,1605261476,1605261524,124,9.0,0
12,458,27,170,1605261525,1605267458,124,10.0,0
13,459,27,171,1605267459,1605267485,124,10.0,0
14,460,27,172,1605267486,1605267506,124,10.0,0
15,461,27,173,1605267507,1605267555,124,9.0,0
16,462,27,174,1605267556,1605267580,124,10.0,0
17,463,27,175,1605267580,1605267596,124,10.0,0
18,464,27,176,1605267597,1609765593,124,8.5,0
19,465,27,177,1605267649,1605267670,124,10.0,0
20,466,27,178,1605260665,1605260767,124,10.0,0
21,467,27,179,1605267671,1609765984,124,10.0,0
22,468,27,180,1605267753,1609766177,124,9.5,0
23,469,27,181,1605267782,1605267816,124,10.0,0
24,470,27,182,1605267817,1605267846,124,10.0,0
25,471,27,183,1605267847,1603361964,0,,0
26,472,27,184,1605267855,1605267855,0,,0
27,473,27,185,1605267859,1605267896,124,10.0,0
28,476,28,133,1607350238,1607350238,0,,0
29,477,28,143,1607350246,1607350293,124,6.0,0
30,478,28,159,1607350294,1608048605,124,6.0,0
31,479,28,160,1607350364,1609764640,124,10.0,0
32,480,28,161,1607350405,1608048605,124,6.5,0
33,481,28,163,1607350415,1607350427,124,10.0,0
34,482,28,164,1607350428,1607350428,0,,0
35,483,28,165,1607350434,1608048605,124,7.5,0
36,484,28,166,1607350503,1607350519,124,10.0,0
37,485,28,167,1607350520,1609764854,124,9.5,0
38,486,28,168,1607350547,1607350583,124,9.5,0
39,487,28,169,1607350584,1607350596,124,10.0,0
40,488,28,170,1607350597,1607350622,124,10.0,0
41,489,28,171,1607350623,1607350637,124,10.0,0
42,490,28,172,1607350638,1607350659,124,10.0,0
43,491,28,173,1607350660,1607350678,124,10.0,0
44,492,28,174,1607350679,1607350690,124,10.0,0
45,493,28,175,1607350691,1607350709,124,10.0,0
46,494,28,176,1607350710,1609765704,124,9.0,0
47,495,28,177,1607350737,1609765890,124,10.0,0
48,496,28,178,1607350000,1607350152,124,10.0,0
49,497,28,179,1607350763,1607350774,124,10.0,0
50,498,28,180,1607350775,1607350796,124,10.0,0
51,499,28,181,1607350797,1607350816,124,10.0,0
52,500,28,182,1607350817,1607350838,124,9.0,0
53,501,28,183,1607350839,1607350839,0,,0
54,502,28,184,1607350843,1607350843,0,,0
55,503,28,185,1607350845,1609769291,124,10.0,0
56,506,30,133,1606303982,1606304000,124,,0
57,507,30,143,1606304001,1609764133,124,7.5,0
58,508,30,159,1606304019,1609765268,124,10.0,0
59,509,30,160,1606304033,1607862869,124,10.0,0
60,510,30,161,1606304047,1607862887,124,8.0,0
61,511,30,163,1606304063,1607862944,124,10.0,0
62,512,30,164,1606304079,1607862949,124,,0
63,513,30,165,1606304100,1607862966,124,10.0,0
64,514,30,166,1606304113,1609765385,124,9.5,0
65,515,30,167,1606304125,1607863013,124,8.0,0
66,516,30,168,1606304137,1607863028,124,8.0,0
67,517,30,169,1606304152,1607863041,124,8.5,0
68,518,30,170,1606304161,1607863054,124,10.0,0
69,519,30,171,1606304172,1607863070,124,10.0,0
70,520,30,172,1606304191,1607863090,124,10.0,0
71,521,30,173,1606304203,1607863104,124,10.0,0
72,522,30,174,1606304213,1609765066,124,10.0,0
73,523,30,175,1606304223,1607863182,124,10.0,0
74,524,30,176,1606304235,1609765812,124,10.0,0
75,525,30,177,1606304250,1609765446,124,10.0,0
76,526,30,178,1606303768,1607862486,124,10.0,0
77,527,30,179,1606303850,1607862500,124,10.0,0
78,528,30,180,1606303864,1609766213,124,10.0,0
79,529,30,181,1606303875,1607862680,124,10.0,0
80,530,30,182,1606303923,1607862705,124,10.0,0
81,531,30,183,1606303936,1606304358,124,,0
82,532,30,184,1606304311,1606304322,124,,0
83,533,30,185,1606304323,1607862726,124,10.0,0
84,534,31,143,1608682924,1608676635,0,,0
85,535,31,160,1608394767,1607960470,0,,0
86,536,31,167,1608681675,1608653943,0,,0
87,537,31,168,1608681940,1608656460,0,,0
88,538,31,174,1608682817,1608673759,0,,0
89,539,31,176,1608494622,1608490834,0,,0
90,540,31,177,1608682886,1608674347,0,,0
91,541,31,179,1608682360,1608665151,0,,0
92,542,31,180,1608681781,1608655325,0,,0
93,543,31,185,1608386860,1608317217,0,,0
