id,course,name,intro,introformat,timeopen,timeclose,timelimit,overduehandling,gradeperiod,preferredbehaviour,canredoquestions,attempts,attemptonlast,reviewattempt,shuffleanswers,sumgrades,grade,timecreated,timemodified
37,11,Super-Short Quiz for Week 1 (0.125 out of 2 bonus points),"<p dir=""ltr"" style=""text-align: left;"">Let's summarize the important points for this week by taking this 3-question quiz!</p><p dir=""ltr"" style=""text-align: left;"">Don't be alarmed if you don't get the answers right - The point of this quiz is to see where we stand and help us move forward!</p>",1,0,0,0,autosubmit,0,deferredfeedback,0,1,0,69888,1,3,3,0,1600853566
38,11,Super-Short Quiz for revisiting Week 2 (0.125 out of 2 bonus points),"<p dir=""ltr"" style=""text-align: left;"">The super-short quiz for summing up this week's topic :)</p>",1,0,0,0,autosubmit,0,deferredfeedback,0,1,0,69888,1,4,4,0,1601478854
39,11,Weekly Short Quiz,"<p dir=""ltr"" style=""text-align: left;"">Use this quiz to provide the responses to the questions raised in the Notebook: ""The Gradebook""</p>",1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,69888,0,3,10,1604511025,1604511025
40,11,Weekly Short Quiz,"<p dir=""ltr"" style=""text-align: left;""><span style=""font-size: 0.9375rem;"">Use this quiz to provide the responses to the questions raised in Week's 8 Notebook: ""When data go beyond numbers""</span></p>",1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,69888,0,3,3,1605107284,1605107284
41,11,Weekly mini-quiz,"<p dir=""ltr"" style=""text-align: left;"">....to keep the spirits up and high!</p>",1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,69888,1,3,10,1605706946,1605706946
42,11,Weekly Mini Quiz,"<p dir=""ltr"" style=""text-align: left;"">Give our mini quiz a try and you will be rewarded!</p>",1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,69888,1,3,3,1606302375,1606302375
43,11,E-exam,,1,1608098340,1608141660,1860,autosubmit,0,deferredfeedback,0,1,0,65536,1,10,10,1607954166,1607961341
44,11,Online Test (Mandatory),<p>Please answer <strong>all</strong> three questions! Keep it short but precise :)</p>,1,1576476000,1576522860,3600,autosubmit,0,deferredfeedback,0,1,0,69904,0,10,10,0,1577357788
45,11,Online Test (for Saturday Participants),<p>Please answer <strong>all</strong> three questions! Keep it short but precise :)</p>,1,1576908000,1576954860,3600,autosubmit,0,deferredfeedback,0,1,0,69904,0,10,10,0,1576755760
